date,GMKN
2016-09-20,9562.0
2016-09-21,9420.0
2016-09-22,9715.0
2016-09-23,9730.0
2016-09-26,9667.0
2016-09-27,9780.0
2016-09-28,9952.0
2016-09-29,9918.0
2016-09-30,9812.0
2016-10-03,9648.0
2016-10-04,9639.0
2016-10-05,9530.0
2016-10-06,9475.0
2016-10-07,9401.0
2016-10-10,9406.0
2016-10-11,9450.0
2016-10-12,9432.0
2016-10-13,9400.0
2016-10-14,9390.0
2016-10-17,9250.0
2016-10-18,9364.0
2016-10-19,9269.0
2016-10-20,9200.0
2016-10-21,9376.0
2016-10-24,9250.0
2016-10-25,9304.0
2016-10-26,9307.0
2016-10-27,9451.0
2016-10-28,9345.0
2016-10-31,9344.0
2016-11-01,9310.0
2016-11-02,9200.0
2016-11-03,9157.0
2016-11-07,9230.0
2016-11-08,9400.0
2016-11-09,9590.0
2016-11-10,10046.0
2016-11-11,10150.0
2016-11-14,10380.0
2016-11-15,10367.0
2016-11-16,10270.0
2016-11-17,10289.0
2016-11-18,10144.0
2016-11-21,10137.0
2016-11-22,10277.0
2016-11-23,10490.0
2016-11-24,10498.0
2016-11-25,10450.0
2016-11-28,10550.0
2016-11-29,10468.0
2016-11-30,10371.0
2016-12-01,10620.0
2016-12-02,10680.0
2016-12-05,10830.0
2016-12-06,10900.0
2016-12-07,10990.0
2016-12-08,11070.0
2016-12-09,10996.0
2016-12-12,10909.0
2016-12-13,10804.0
2016-12-14,10590.0
2016-12-15,10512.0
2016-12-16,10525.0
2016-12-19,10260.0
2016-12-20,10249.0
2016-12-21,10194.0
2016-12-22,10190.0
2016-12-23,10170.0
2016-12-26,10202.0
2016-12-27,9896.0
2016-12-28,9790.0
2016-12-29,9951.0
2016-12-30,10122.0
2017-01-03,10245.0
2017-01-04,10195.0
2017-01-05,10025.0
2017-01-06,10040.0
2017-01-09,10115.0
2017-01-10,10397.0
2017-01-11,10439.0
2017-01-12,9994.0
2017-01-13,9756.0
2017-01-16,9761.0
2017-01-17,9615.0
2017-01-18,9549.0
2017-01-19,9590.0
2017-01-20,9360.0
2017-01-23,9424.0
2017-01-24,9486.0
2017-01-25,9535.0
2017-01-26,9790.0
2017-01-27,9792.0
2017-01-30,9772.0
2017-01-31,9629.0
2017-02-01,9848.0
2017-02-02,10255.0
2017-02-03,10089.0
2017-02-06,9922.0
2017-02-07,10136.0
2017-02-08,10135.0
2017-02-09,9999.0
2017-02-10,10072.0
2017-02-13,9890.0
2017-02-14,9740.0
2017-02-15,9940.0
2017-02-16,9957.0
2017-02-17,9720.0
2017-02-20,9585.0
2017-02-21,9677.0
2017-02-22,9600.0
2017-02-24,9498.0
2017-02-27,9341.0
2017-02-28,9311.0
2017-03-01,9371.0
2017-03-02,9306.0
2017-03-03,9336.0
2017-03-06,9324.0
2017-03-07,9061.0
2017-03-09,8807.0
2017-03-10,8855.0
2017-03-13,8965.0
2017-03-14,9097.0
2017-03-15,9057.0
2017-03-16,9054.0
2017-03-17,9169.0
2017-03-20,9011.0
2017-03-21,9109.0
2017-03-22,9180.0
2017-03-23,9182.0
2017-03-24,9165.0
2017-03-27,8891.0
2017-03-28,9011.0
2017-03-29,8985.0
2017-03-30,8989.0
2017-03-31,8929.0
2017-04-03,8974.0
2017-04-04,9000.0
2017-04-05,9186.0
2017-04-06,9133.0
2017-04-07,9025.0
2017-04-10,8956.0
2017-04-11,8964.0
2017-04-12,8924.0
2017-04-13,8775.0
2017-04-14,8710.0
2017-04-17,8841.0
2017-04-18,8556.0
2017-04-19,8553.0
2017-04-20,8620.0
2017-04-21,8538.0
2017-04-24,8685.0
2017-04-25,8873.0
2017-04-26,8890.0
2017-04-27,8750.0
2017-04-28,8747.0
2017-05-02,8809.0
2017-05-03,8688.0
2017-05-04,8701.0
2017-05-05,8765.0
2017-05-10,8658.0
2017-05-11,8500.0
2017-05-12,8405.0
2017-05-15,8530.0
2017-05-16,8402.0
2017-05-17,8372.0
2017-05-18,8420.0
2017-05-19,8305.0
2017-05-22,8275.0
2017-05-23,8359.0
2017-05-24,8399.0
2017-05-25,8227.0
2017-05-26,8200.0
2017-05-29,8143.0
2017-05-30,8050.0
2017-05-31,7902.0
2017-06-01,7791.0
2017-06-02,7829.0
2017-06-05,7887.0
2017-06-06,7898.0
2017-06-07,7865.0
2017-06-08,8013.0
2017-06-09,8100.0
2017-06-13,8058.0
2017-06-14,8113.0
2017-06-15,8011.0
2017-06-16,8154.0
2017-06-19,8250.0
2017-06-20,8311.0
2017-06-21,8290.0
2017-06-22,7850.0
2017-06-23,8015.0
2017-06-26,7999.0
2017-06-27,8126.0
2017-06-28,8175.0
2017-06-29,8180.0
2017-06-30,8068.0
2017-07-03,8246.0
2017-07-04,8197.0
2017-07-05,8288.0
2017-07-06,8343.0
2017-07-07,8373.0
2017-07-10,8515.0
2017-07-11,8591.0
2017-07-12,8600.0
2017-07-13,8496.0
2017-07-14,8480.0
2017-07-17,8593.0
2017-07-18,8574.0
2017-07-19,8693.0
2017-07-20,8410.0
2017-07-21,8388.0
2017-07-24,8585.0
2017-07-25,8675.0
2017-07-26,8646.0
2017-07-27,8865.0
2017-07-28,8831.0
2017-07-31,8930.0
2017-08-01,9055.0
2017-08-02,9142.0
2017-08-03,9095.0
2017-08-04,9099.0
2017-08-07,9270.0
2017-08-08,9200.0
2017-08-09,9269.0
2017-08-10,9180.0
2017-08-11,9000.0
2017-08-14,9050.0
2017-08-15,8919.0
2017-08-16,8725.0
2017-08-17,8768.0
2017-08-18,8899.0
2017-08-21,9005.0
2017-08-22,9071.0
2017-08-23,9130.0
2017-08-24,9220.0
2017-08-25,9150.0
2017-08-28,9289.0
2017-08-29,9473.0
2017-08-30,9500.0
2017-08-31,9790.0
2017-09-01,9803.0
2017-09-04,9746.0
2017-09-05,9692.0
2017-09-06,9825.0
2017-09-07,9660.0
2017-09-08,9675.0
