date,MOEX
2017-11-13,125.8
2017-11-14,125.51
2017-11-15,124.93
2017-11-16,123.53
2017-11-17,119.5
2017-11-20,123.0
2017-11-21,127.44
2017-11-22,125.78
2017-11-23,124.3
2017-11-24,126.28
2017-11-27,125.28
2017-11-28,126.2
2017-11-29,125.77
2017-11-30,124.25
2017-12-01,122.61
2017-12-04,122.32
2017-12-05,118.1
2017-12-06,119.65
2017-12-07,116.2
2017-12-08,119.37
2017-12-11,121.7
2017-12-12,124.0
2017-12-13,118.0
2017-12-14,121.12
2017-12-15,120.81
2017-12-18,118.0
2017-12-19,114.72
2017-12-20,111.75
2017-12-21,108.9
2017-12-22,110.1
2017-12-25,110.0
2017-12-26,109.01
2017-12-27,109.07
2017-12-28,109.39
2017-12-29,108.97
2018-01-03,109.18
2018-01-04,109.12
2018-01-05,108.25
2018-01-09,109.06
2018-01-10,113.4
2018-01-11,115.3
2018-01-12,113.49
2018-01-15,113.84
2018-01-16,112.97
2018-01-17,112.5
2018-01-18,113.4
2018-01-19,111.5
2018-01-22,113.6
2018-01-23,115.0
2018-01-24,114.8
2018-01-25,116.36
2018-01-26,115.75
2018-01-29,118.2
2018-01-30,117.1
2018-01-31,115.0
2018-02-01,116.7
2018-02-02,115.8
2018-02-05,115.72
2018-02-06,113.6
2018-02-07,113.5
2018-02-08,112.8
2018-02-09,110.5
2018-02-12,110.3
2018-02-13,111.25
2018-02-14,111.2
2018-02-15,110.3
2018-02-16,110.62
2018-02-19,110.56
2018-02-20,111.4
2018-02-21,114.23
2018-02-22,113.68
2018-02-26,115.0
2018-02-27,115.09
2018-02-28,111.85
2018-03-01,114.29
2018-03-02,115.46
2018-03-05,117.0
2018-03-06,119.65
2018-03-07,117.0
2018-03-09,120.97
2018-03-12,118.4
2018-03-13,119.0
2018-03-14,115.57
2018-03-15,117.0
2018-03-16,121.0
2018-03-19,119.5
2018-03-20,118.4
2018-03-21,118.5
2018-03-22,117.88
2018-03-23,119.0
2018-03-26,115.98
2018-03-27,116.42
2018-03-28,116.5
2018-03-29,117.57
2018-03-30,117.0
2018-04-02,116.3
2018-04-03,117.0
2018-04-04,116.5
2018-04-05,117.04
2018-04-06,116.9
2018-04-09,114.0
2018-04-10,114.55
2018-04-11,111.94
2018-04-12,113.13
2018-04-13,112.2
2018-04-16,113.24
2018-04-17,114.05
2018-04-18,115.25
2018-04-19,115.5
2018-04-20,115.99
2018-04-23,113.65
2018-04-24,114.21
2018-04-25,114.45
2018-04-26,116.08
2018-04-27,120.05
2018-04-28,119.67
2018-04-30,120.75
2018-05-02,119.69
2018-05-03,120.98
2018-05-04,120.53
2018-05-07,119.99
2018-05-08,118.52
2018-05-10,120.0
2018-05-11,123.06
2018-05-14,119.15
2018-05-15,115.4
2018-05-16,117.73
2018-05-17,116.0
2018-05-18,117.16
2018-05-21,115.95
2018-05-22,115.05
2018-05-23,113.59
2018-05-24,113.65
2018-05-25,114.8
2018-05-28,113.88
2018-05-29,112.4
2018-05-30,111.82
2018-05-31,112.59
2018-06-01,114.3
2018-06-04,115.45
2018-06-05,114.29
2018-06-06,112.7
2018-06-07,110.6
2018-06-08,107.7
2018-06-09,108.67
2018-06-11,107.68
2018-06-13,109.2
2018-06-14,111.43
2018-06-15,111.18
2018-06-18,110.5
2018-06-19,108.15
2018-06-20,110.35
2018-06-21,109.87
2018-06-22,111.6
2018-06-25,111.64
2018-06-26,110.55
2018-06-27,110.38
2018-06-28,109.62
2018-06-29,108.58
2018-07-02,107.86
2018-07-03,107.9
2018-07-04,106.11
2018-07-05,106.4
2018-07-06,108.0
2018-07-09,109.9
2018-07-10,109.5
2018-07-11,109.0
2018-07-12,106.5
2018-07-13,106.41
2018-07-16,106.2
2018-07-17,105.7
2018-07-18,105.37
2018-07-19,104.82
2018-07-20,103.75
2018-07-23,104.01
2018-07-24,103.1
2018-07-25,101.3
2018-07-26,100.9
2018-07-27,101.8
2018-07-30,103.72
2018-07-31,103.0
2018-08-01,102.5
2018-08-02,100.42
2018-08-03,102.06
2018-08-06,101.5
2018-08-07,100.92
2018-08-08,100.5
2018-08-09,102.0
2018-08-10,101.24
2018-08-13,100.09
2018-08-14,102.37
2018-08-15,100.36
2018-08-16,100.07
2018-08-17,100.03
2018-08-20,100.92
2018-08-21,100.0
2018-08-22,100.15
2018-08-23,99.72
2018-08-24,98.63
2018-08-27,98.3
2018-08-28,97.33
2018-08-29,95.65
2018-08-30,95.8
2018-08-31,98.04
2018-09-03,98.45
2018-09-04,97.81
2018-09-05,96.0
2018-09-06,95.61
2018-09-07,95.0
2018-09-10,95.2
2018-09-11,95.23
2018-09-12,96.95
2018-09-13,97.77
2018-09-14,97.0
2018-09-17,98.32
2018-09-18,99.5
2018-09-19,99.5
2018-09-20,100.78
2018-09-21,100.95
2018-09-24,101.0
2018-09-25,100.39
2018-09-26,100.87
2018-09-27,102.99
2018-09-28,97.2
2018-10-01,97.07
2018-10-02,96.45
2018-10-03,97.22
2018-10-04,96.63
2018-10-05,96.02
2018-10-08,95.32
2018-10-09,93.56
2018-10-10,93.02
2018-10-11,92.42
2018-10-12,93.45
2018-10-15,92.73
2018-10-16,91.5
2018-10-17,91.5
2018-10-18,92.53
2018-10-19,90.58
2018-10-22,88.8
2018-10-23,88.46
2018-10-24,87.75
2018-10-25,87.27
2018-10-26,83.5
2018-10-29,83.2
2018-10-30,86.73
2018-10-31,87.9
2018-11-01,88.6
2018-11-02,88.46
2018-11-06,91.14
2018-11-07,92.44
2018-11-08,91.8
2018-11-09,88.85
2018-11-12,88.57
2018-11-13,89.55
2018-11-14,94.01
2018-11-15,93.96
2018-11-16,93.45
2018-11-19,91.49
2018-11-20,90.1
2018-11-21,89.57
2018-11-22,91.6
2018-11-23,90.82
2018-11-26,89.65
2018-11-27,89.45
2018-11-28,90.1
2018-11-29,90.17
2018-11-30,89.52
2018-12-03,90.03
2018-12-04,90.25
2018-12-05,89.75
2018-12-06,89.0
2018-12-07,88.42
2018-12-10,86.93
2018-12-11,86.42
2018-12-12,85.9
2018-12-13,85.5
2018-12-14,84.0
2018-12-17,84.17
2018-12-18,84.0
2018-12-19,84.5
2018-12-20,83.48
2018-12-21,83.3
2018-12-24,82.95
2018-12-25,81.68
2018-12-26,81.3
2018-12-27,81.04
2018-12-28,80.3
2018-12-29,81.0
2019-01-03,84.49
2019-01-04,84.0
2019-01-08,83.7
2019-01-09,83.93
2019-01-10,84.7
2019-01-11,88.0
2019-01-14,88.3
2019-01-15,88.86
2019-01-16,90.1
2019-01-17,90.05
2019-01-18,93.33
2019-01-21,94.7
2019-01-22,94.4
2019-01-23,94.4
2019-01-24,91.8
2019-01-25,91.49
2019-01-28,90.5
2019-01-29,91.8
2019-01-30,91.9
2019-01-31,92.82
2019-02-01,93.5
2019-02-04,92.7
2019-02-05,91.7
2019-02-06,91.5
2019-02-07,90.07
2019-02-08,90.7
2019-02-11,90.3
2019-02-12,89.94
2019-02-13,88.8
2019-02-14,89.12
2019-02-15,90.15
2019-02-18,89.71
2019-02-19,89.52
2019-02-20,89.6
2019-02-21,88.91
2019-02-22,89.5
2019-02-25,89.67
2019-02-26,90.43
2019-02-27,90.67
2019-02-28,91.22
2019-03-01,91.57
2019-03-04,92.44
2019-03-05,92.38
2019-03-06,93.6
2019-03-07,93.95
2019-03-11,93.14
2019-03-12,93.0
2019-03-13,91.82
2019-03-14,91.5
2019-03-15,91.08
2019-03-18,91.45
2019-03-19,91.11
2019-03-20,90.54
2019-03-21,90.63
2019-03-22,89.08
2019-03-25,90.5
2019-03-26,91.07
2019-03-27,90.61
2019-03-28,90.64
2019-03-29,91.3
2019-04-01,92.34
2019-04-02,92.14
2019-04-03,90.77
2019-04-04,91.27
2019-04-05,91.02
2019-04-08,91.0
2019-04-09,91.04
2019-04-10,93.11
2019-04-11,91.5
2019-04-12,91.4
2019-04-15,91.46
2019-04-16,91.05
2019-04-17,91.2
2019-04-18,91.25
2019-04-19,91.6
2019-04-22,92.19
2019-04-23,91.5
2019-04-24,91.32
2019-04-25,90.7
2019-04-26,90.99
2019-04-29,91.68
2019-04-30,91.05
2019-05-02,90.8
2019-05-03,91.83
2019-05-06,93.17
2019-05-07,93.8
2019-05-08,92.47
2019-05-10,91.67
2019-05-13,86.34
2019-05-14,85.51
2019-05-15,84.8
2019-05-16,84.7
2019-05-17,83.8
2019-05-20,84.15
2019-05-21,84.2
2019-05-22,84.57
2019-05-23,83.9
2019-05-24,83.59
2019-05-27,84.3
2019-05-28,83.5
2019-05-29,84.3
2019-05-30,84.75
2019-05-31,84.75
2019-06-03,84.82
2019-06-04,85.98
2019-06-05,85.56
2019-06-06,86.58
2019-06-07,87.55
2019-06-10,89.24
2019-06-11,89.55
2019-06-13,89.5
2019-06-14,89.3
2019-06-17,89.1
2019-06-18,89.42
2019-06-19,90.0
2019-06-20,90.68
2019-06-21,89.68
2019-06-24,89.41
2019-06-25,89.35
2019-06-26,90.3
2019-06-27,89.77
2019-06-28,90.15
2019-07-01,90.9
2019-07-02,91.98
2019-07-03,92.7
2019-07-04,94.3
2019-07-05,95.3
2019-07-08,96.42
2019-07-09,95.32
2019-07-10,95.0
2019-07-11,94.9
2019-07-12,93.97
2019-07-15,95.18
2019-07-16,93.45
2019-07-17,92.73
2019-07-18,92.99
2019-07-19,93.06
2019-07-22,92.22
2019-07-23,91.51
2019-07-24,90.0
2019-07-25,92.0
2019-07-26,91.14
2019-07-29,91.95
2019-07-30,93.31
2019-07-31,93.16
2019-08-01,92.49
2019-08-02,92.4
2019-08-05,93.5
2019-08-06,94.9
2019-08-07,95.4
2019-08-08,95.5
2019-08-09,94.9
2019-08-12,94.8
2019-08-13,94.8
2019-08-14,94.0
2019-08-15,93.16
2019-08-16,91.83
2019-08-19,92.6
2019-08-20,91.5
2019-08-21,91.9
2019-08-22,92.65
2019-08-23,93.5
2019-08-26,93.3
2019-08-27,94.33
2019-08-28,95.27
2019-08-29,95.8
2019-08-30,94.62
2019-09-02,94.64
2019-09-03,95.22
2019-09-04,95.53
2019-09-05,95.3
2019-09-06,95.54
2019-09-09,95.65
2019-09-10,95.18
2019-09-11,96.79
2019-09-12,96.0
2019-09-13,96.8
2019-09-16,97.35
2019-09-17,96.65
2019-09-18,95.96
2019-09-19,96.24
2019-09-20,95.58
2019-09-23,96.12
2019-09-24,95.15
2019-09-25,94.99
2019-09-26,94.94
2019-09-27,94.85
2019-09-30,94.74
2019-10-01,95.03
2019-10-02,91.55
2019-10-03,91.69
2019-10-04,91.44
2019-10-07,91.01
2019-10-08,90.0
2019-10-09,90.1
2019-10-10,90.0
2019-10-11,90.25
2019-10-14,89.69
2019-10-15,91.5
2019-10-16,93.95
2019-10-17,92.7
2019-10-18,92.7
2019-10-21,93.26
2019-10-22,92.99
2019-10-23,93.05
2019-10-24,92.15
2019-10-25,93.2
2019-10-28,93.61
2019-10-29,94.0
2019-10-30,94.99
2019-10-31,95.03
2019-11-01,97.05
2019-11-05,100.29
2019-11-06,99.95
2019-11-07,99.52
2019-11-08,99.14
2019-11-11,100.0
2019-11-12,99.7
2019-11-13,100.26
2019-11-14,99.94
2019-11-15,100.13
2019-11-18,100.0
2019-11-19,100.5
2019-11-20,103.17
2019-11-21,102.72
2019-11-22,105.2
2019-11-25,104.42
2019-11-26,105.0
2019-11-27,106.5
2019-11-28,105.58
2019-11-29,105.7
2019-12-02,106.28
2019-12-03,103.89
2019-12-04,105.98
2019-12-05,104.36
2019-12-06,106.17
2019-12-09,106.05
2019-12-10,104.8
2019-12-11,106.3
2019-12-12,108.09
2019-12-13,108.96
2019-12-16,109.09
2019-12-17,109.05
2019-12-18,107.28
2019-12-19,108.55
2019-12-20,107.48
2019-12-23,108.05
2019-12-24,107.2
2019-12-25,106.82
2019-12-26,106.74
2019-12-27,107.08
2019-12-30,107.75
2020-01-03,107.18
2020-01-06,108.03
2020-01-08,110.84
2020-01-09,111.0
2020-01-10,112.99
2020-01-13,114.1
2020-01-14,114.02
2020-01-15,115.88
2020-01-16,114.5
2020-01-17,114.8
2020-01-20,116.0
2020-01-21,114.62
2020-01-22,114.5
2020-01-23,113.82
2020-01-24,113.0
2020-01-27,110.62
2020-01-28,111.3
2020-01-29,111.8
2020-01-30,111.81
2020-01-31,109.94
2020-02-03,110.94
2020-02-04,113.35
2020-02-05,113.3
2020-02-06,112.42
2020-02-07,113.16
2020-02-10,113.8
2020-02-11,114.0
2020-02-12,112.91
2020-02-13,112.25
2020-02-14,112.5
2020-02-17,112.8
2020-02-18,111.8
2020-02-19,111.65
2020-02-20,112.0
2020-02-21,111.33
2020-02-25,107.54
2020-02-26,107.3
2020-02-27,104.73
2020-02-28,99.08
2020-03-02,99.73
2020-03-03,98.08
2020-03-04,96.5
2020-03-05,94.93
2020-03-06,90.95
2020-03-10,90.0
2020-03-11,92.64
2020-03-12,91.69
2020-03-13,90.01
2020-03-16,87.5
2020-03-17,83.97
2020-03-18,80.98
2020-03-19,88.46
2020-03-20,92.0
2020-03-23,91.6
2020-03-24,94.46
2020-03-25,92.97
2020-03-26,92.78
2020-03-27,91.73
2020-03-30,93.6
2020-03-31,97.25
2020-04-01,96.71
2020-04-02,97.25
2020-04-03,99.0
2020-04-06,100.75
2020-04-07,101.37
2020-04-08,104.2
2020-04-09,106.9
2020-04-10,105.4
2020-04-13,103.33
2020-04-14,106.2
2020-04-15,102.68
2020-04-16,108.58
2020-04-17,113.37
2020-04-20,111.8
2020-04-21,111.0
2020-04-22,116.04
2020-04-23,117.5
2020-04-24,117.03
2020-04-27,120.1
2020-04-28,125.35
2020-04-29,121.5
2020-04-30,120.23
2020-05-04,119.6
2020-05-05,120.99
2020-05-06,122.74
2020-05-07,124.78
2020-05-08,127.09
2020-05-12,128.3
2020-05-13,127.28
2020-05-14,116.46
2020-05-15,113.57
2020-05-18,115.91
2020-05-19,114.4
2020-05-20,115.8
2020-05-21,115.35
2020-05-22,114.47
2020-05-25,115.98
2020-05-26,115.33
2020-05-27,114.59
2020-05-28,115.39
2020-05-29,114.29
2020-06-01,114.42
2020-06-02,115.5
2020-06-03,118.48
2020-06-04,118.4
2020-06-05,118.28
2020-06-08,116.66
2020-06-09,115.05
2020-06-10,115.42
2020-06-11,116.05
2020-06-15,116.24
2020-06-16,116.13
2020-06-17,115.0
2020-06-18,115.16
2020-06-19,115.67
2020-06-22,116.0
2020-06-23,115.4
2020-06-25,114.87
2020-06-26,113.42
2020-06-29,113.4
2020-06-30,113.25
